Сравнительная и превосходная степерь А; Comparaptiv und Superlativ A
Ich bin genauso klug wie meine Freundin;Ich bin klüger als meine Freundin;;Я такой же умный, как моя подруга;Я умнее, чем моя подруга;
dieses Buch ist gut;jenes Buch ist besser;das andere Buch ist am besten;эта книга хорошая;та книга лучше;другая книга самая лучшая
ich habe viel Arbeit;du hast mehr Arbeit;er hat am meisten Arbeit;у меня много работы;у тебя больше работы;у него самой много работы
ich spiele gern Fußball;ich spiele lieber Tennis;am liebsten spiele ich Basketball;я люблю играть в футбол;я больше люблю теннис;больше всего я люблю баскетбол
Ich bin genauso alt wie mein Bruder;Ich bin älter als mein Bruder;Я такой же старый, как мой брат;mein Urgroßvater ist am ältesten;я старше, чем мой брат;мой прадедушка самый старый
der Berg ist hoch;der andere Berg ist höher;der Mount Everest ist am höchsten;гора высокая;другая гора выше;гора Эверест самая высокая
mein Haus ist nah;dein Haus ist näher zum Bahnhof;sein Haus ist am nächsten zur Schule;мой дом близко;твой дом ближе к вокзалу;его дом самый близкий к школе
ich komme bald;du kommst eher;am ehesten treffen wir uns morgen;я скоро приду;ты придёшь скорее;скорее всего мы встретимся завтра
ich gehe oft ins Kino;du gehst öfter;am häufigsten gehen wir zusammen ins Theater;я часто хожу в кино;ты ходишь чаще;чаще всего мы ходим вместе в театр
der Winter ist kalt;der letzte Winter war kälter;dieser Winter ist am kältesten;зима холодная;прошлая зима была холоднее;эта зима самая холодная
die Straße ist lang;die andere Straße ist länger;die längste Straße ist in Berlin;улица длинная;другая улица длиннее;самая длинная улица в Берлине
der Sommer ist warm;der Frühling ist wärmer;der Herbst ist am wärmsten;лето тёплое;весна теплее;осень самая тёплая
das Wasser ist klar;das andere Wasser ist klarer;das klarste Wasser ist frisch;вода чистая;другая вода чище;самая чистая вода свежая
der Junge ist stolz;sein Vater ist stolzer;der stolzeste Mann ist hier;мальчик гордый;его отец горже;самый гордый мужчина здесь
die Antwort ist falsch;die zweite Antwort ist falscher;die falscheste Antwort ist falsch;ответ неверный;второй ответ невернее;самый неверный ответ неверный
das Glas ist voll;die Flasche ist voller;die vollste Flasche ist leer;стакан полный;бутылка полнее;самая полная бутылка пустая
das Mädchen ist froh;die Schwester ist froher;die froheste Person ist sie;девочка веселая;сестра веселее;самый веселый человек - она