Субъективное значение модальных глаголов, Futur 2 и прочее;Subjektive Bedeutung von Modalverben, Futur 2 und dergleichen;
Er muss jetzt im Büro sein.;Er kann jetzt nur im Büro sein.;Er ist jetzt sicherlich im Büro.;Он должен быть сейчас в оффисе (уверенность почти 100%);;
Er muss im Büro gewesen sein.;;;Он должен был быть в бюро;;
Ihr müsstet jetzt im Büro sein.;Ihr seid jetzt sehr wahrscheinlich im Büro.;;Вы (множественное число) должно быть сейчас в офисе (уверенность около 80%);;
Ihr müsstet im Büro gewesen sein.;Ihr wart sehr wahrscheinlich im Büro.;;Вы (множественное число), должно быть, были в офисе.;;
Er dürfte jetzt im Büro sein.;Er ist jetzt wahrscheinlich im Büro.;;Он наверное сейчас в офисе (уверенность около 75%);;
Er dürfte im Büro gewesen sein.;Er wird im Büro gewesen sein. (Futur 2);;Он наверное был в офисе (уверенность около 75%);;
Er kann jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Он может быть сейчас в офисе (уверенность около 50%);;
Er könnte jetzt im Büro sein.;Er ist jetzt möglicherweise im Büro.;;Он мог бы быть сейчас в офисе (уверенность около 40%);;
Er mag jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Авось он сейчас в офисе (уверенность около 30%);;
Karlos soll zu seinen Verwandten nach Spanien fahren.;;;Говорят, что Карлос поедет к своим родственникам в Испанию. (передача информации от другого лица);;
Karlos soll zu seinen Verwandten nach Spanien gefahren sein.;;;Говорят, что Карлос поехал к своим родственникам в Испанию. (передача информации от другого лица);;
Maria will in der Ferien zu Hause bleiben.;;;Мария, по ее словам, на каникулах останется дома. (доля сомнения в ее словах);;
Maria will in der Ferien zu Hause geblieben sein.;;;Мария, по ее словам, на каникулах осталась дома. (доля сомнения в ее словах);;
Ich habe ihn schon lange nocht mehr gesehen, wird er nach Hause geflogen sein.;;;Я давное его уже не видел: наверное он улетел домой. Футур 2.;;
Du siehst sehr müde aus, du wirst wohl wenig geschlafen haben.;;;Ты выдглядишь очень усталым: должно быть ты мало спал. Футур 2.;;