;;;Wortfamilie GEBEN: Substantiven;;
Er ist ein großzügiger Geber.;;;Он щедрый даритель.;;
Wir suchen noch Blutgeber.;;;Мы всё ещё ищем доноров крови.;;
Das ist eine schwierige Aufgabe.;;;Это сложная задача.;;
Sie hat ihre Aufgabe erfüllt.;;;Она выполнила свою задачу.;;
Die Aufgabe der Stadt war unvermeidbar.;;;Сдача города была неизбежна.;;
Er bereut die Aufgabe seines Geschäfts.;;;Он сожалеет об отказе от своего бизнеса.;;
Die Abgabe der Steuererklärung ist bis Ende März.;;;Сдача налоговой декларации до конца марта.;;
Die Abgaben wurden erhöht.;;;Налоги были повышены.;;
Sie musste hohe Abgaben zahlen.;;;Ей пришлось платить высокие налоги.;;
Laut seinen Angaben war er zu Hause.;;;Согласно его утверждениям, он был дома.;;
Bitte füllen Sie alle Angaben aus.;;;Пожалуйста, заполните все данные.;;
Diese Angaben sind unvollständig.;;;Эти данные неполные.;;
Unsere monatlichen Ausgaben sind zu hoch.;;;Наши ежемесячные расходы слишком высоки.;;
Kontrollieren Sie Ihre Ausgaben.;;;Контролируйте свои расходы.;;
Die neue Ausgabe der Zeitschrift ist erschienen.;;;Вышел новый выпуск журнала.;;
Er hat eine limitierte Ausgabe des Buches.;;;У него ограниченное издание книги.;;
Die Eingabe der Daten dauert lange.;;;Ввод данных занимает много времени.;;
Bitte überprüfen Sie Ihre Eingabe.;;;Пожалуйста, проверьте ваш ввод.;;
Er hat eine Eingabe bei Gericht gemacht.;;;Он подал заявление в суд.;;
Die Eingabe wurde abgelehnt.;;;Запрос был отклонён.;;
Das Ergebnis der Prüfung war gut.;;;Результат экзамена был хорошим.;;
Wir warten auf die Ergebnisse der Untersuchung.;;;Мы ждём результатов исследования.;;
Das Endergebnis steht noch aus.;;;Окончательный результат ещё не известен.;;
Sie arbeitet mit großer Hingabe.;;;Она работает с большой самоотдачей.;;
Seine Hingabe zur Musik ist bewundernswert.;;;Его преданность музыке восхитительна.;;
Mit Hingabe widmet er sich seinen Kindern.;;;С преданностью он посвящает себя своим детям.;;
Die Umgebung des Hotels ist sehr schön.;;;Окрестности отеля очень красивые.;;
In dieser Umgebung fühle ich mich wohl.;;;В этой обстановке я чувствую себя комфортно.;;
Die natürliche Umgebung muss geschützt werden.;;;Природное окружение должно быть защищено.;;
Die Übergabe des Geschenks findet morgen statt.;;;Вручение подарка состоится завтра.;;
Bei der Übergabe des Hauses gab es Probleme.;;;При передаче дома возникли проблемы.;;
Die Übergabe der Macht verlief friedlich.;;;Передача власти прошла мирно.;;
Die Vergabe der Aufträge erfolgt nächste Woche.;;;Распределение заказов произойдёт на следующей неделе.;;
Bei der Vergabe der Preise gab es einen Fehler.;;;При выдаче призов произошла ошибка.;;
Die Vergabe von Krediten wurde eingeschränkt.;;;Выдача кредитов была ограничена.;;
Er arbeitet nach den Vorgaben des Chefs.;;;Он работает по указаниям босса.;;
Die Vorgaben sind streng.;;;Требования строгие.;;
Sie hat alle Vorgaben erfüllt.;;;Она выполнила все установки.;;
Die Wiedergabe der Musik ist exzellent.;;;Воспроизведение музыки превосходное.;;
Eine genaue Wiedergabe seiner Worte ist schwierig.;;;Точная передача его слов затруднительна.;;
Die Wiedergabe startet automatisch.;;;Воспроизведение начинается автоматически.;;
Die Zugabe von Salz verbessert den Geschmack.;;;Добавление соли улучшает вкус.;;
Eine kleine Zugabe würde nicht schaden.;;;Небольшое добавление не повредит.;;
Das Publikum forderte eine Zugabe.;;;Публика требовала бис.;;
Die Band spielte zwei Zugaben.;;;Группа исполнила два биса.;;
Gott ist ein gnädiger Vergeber der Sünden.;;;Бог — милостивый прощающий грехи.;;
Er ist der Vergeber von Aufträgen in der Firma.;;;Он распределяет заказы в компании.;;
Seine Nachgiebigkeit wird oft ausgenutzt.;;;Его уступчивостью часто пользуются.;;
Zu viel Nachgiebigkeit ist nicht immer gut.;;;Слишком большая уступчивость не всегда хороша.;;
Seine Freigebigkeit kennt keine Grenzen.;;;Его щедрость не знает границ.;;
Wir bewundern ihre Freigebigkeit.;;;Мы восхищаемся её щедростью.;;