NEHMEN: Adjektive und Adverbien;;;;;
Das ist ein annehmbarer Vorschlag.;;;Это приемлемое предложение.;;
Der Preis ist durchaus annehmbar.;;;Цена вполне приемлемая.;;
Diese Bedingungen sind für uns unannehmbar.;;;Эти условия для нас неприемлемы.;;
Das aufnehmende Land muss die Flüchtlinge versorgen.;;;Принимающая страна должна обеспечивать беженцев.;;
Die aufnehmende Kamera erfasst jedes Detail.;;;Записывающая камера фиксирует каждую деталь.;;
Seine einnehmende Art machte ihn beliebt.;;;Его обаятельный характер делал его популярным.;;
Unternehmerisches Handeln ist gefragt.;;;Требуются предпринимательские действия.;;
Sie blickte teilnehmend auf den Verletzten.;;;Она сочувственно смотрела на раненого.;;
Die teilnehmenden Länder unterzeichneten das Abkommen.;;;Участвующие страны подписали соглашение.;;
Alle waren anwesend, ausgenommen Peter.;;;Все присутствовали, за исключением Петера.;;
Der vernommene Zeuge bestätigte die Aussage.;;;Допрошенный свидетель подтвердил показания.;;
Eine voreingenommene Berichterstattung.;;;Предвзятое освещение.;;